data;valor
03/31/2022;203.83
03/30/2022;201.03
03/29/2022;207.96
03/28/2022;211.25
03/25/2022;213.89
03/24/2022;218.31
03/23/2022;214.81
03/22/2022;218.07
03/21/2022;201.50
03/18/2022;201.49
03/17/2022;206.59
03/16/2022;218.46
03/15/2022;222.37
03/14/2022;223.05
03/11/2022;216.24
03/10/2022;216.28
03/09/2022;225.06
03/08/2022;230.89
03/07/2022;224.74
03/04/2022;218.08
03/03/2022;221.58
03/02/2022;224.39
03/01/2022;220.63
02/28/2022;218.17
02/25/2022;223.94
02/24/2022;228.09
02/23/2022;224.19
02/22/2022;224.92
02/21/2022;224.87
02/18/2022;221.91
02/17/2022;217.99
02/16/2022;222.06
02/15/2022;227.19
02/14/2022;228.49
02/11/2022;221.61
02/10/2022;214.30
02/09/2022;219.27
02/08/2022;220.11
02/07/2022;220.48
02/04/2022;217.37
02/03/2022;212.23
02/02/2022;215.20
02/01/2022;224.00
01/31/2022;226.81
01/28/2022;226.01
01/27/2022;223.35
01/26/2022;222.06
01/25/2022;220.93
01/24/2022;217.96
01/21/2022;224.21
01/20/2022;220.24
01/19/2022;224.21
01/18/2022;220.25
01/17/2022;220.24
01/14/2022;217.00
01/13/2022;208.31
01/12/2022;208.27
01/11/2022;211.35
01/10/2022;210.34
01/07/2022;209.45
01/06/2022;209.47
01/05/2022;202.46
01/04/2022;199.75
01/03/2022;201.50
12/31/2021;201.86
12/30/2021;203.99
12/29/2021;204.28
12/28/2021;205.15
12/27/2021;205.91
12/24/2021;208.73
12/23/2021;209.06
12/22/2021;215.40
12/21/2021;217.97
12/20/2021;223.04
12/17/2021;221.20
12/16/2021;218.52
12/15/2021;218.92
12/14/2021;220.79
12/13/2021;219.38
12/10/2021;218.19
12/09/2021;218.58
12/08/2021;212.52
12/07/2021;217.88
12/06/2021;229.76
12/03/2021;234.14
12/02/2021;235.08
12/01/2021;245.26
11/30/2021;254.26
11/29/2021;253.52
11/26/2021;263.45
11/25/2021;245.43
11/24/2021;245.42
11/23/2021;243.37
11/22/2021;238.56
11/19/2021;234.70
11/18/2021;234.93
11/17/2021;236.21
11/16/2021;234.88
11/15/2021;233.22
11/12/2021;232.39
11/11/2021;233.95
11/10/2021;234.08
11/09/2021;231.10
11/08/2021;232.54
11/05/2021;233.18
11/04/2021;237.68
11/03/2021;247.93
11/02/2021;250.17
11/01/2021;248.54
10/29/2021;244.17
10/28/2021;231.88
10/27/2021;226.61
10/26/2021;224.06
10/25/2021;224.29
10/22/2021;235.90
10/21/2021;223.73
10/20/2021;210.71
10/19/2021;207.86
10/18/2021;202.32
10/15/2021;200.05
10/14/2021;201.53
10/13/2021;207.70
10/12/2021;208.23
10/11/2021;203.27
10/08/2021;203.26
10/07/2021;202.00
10/06/2021;205.82
10/05/2021;204.71
10/04/2021;205.54
10/01/2021;201.16
09/30/2021;203.00
09/29/2021;203.10
09/28/2021;204.67
09/27/2021;199.70
09/24/2021;197.22
09/23/2021;192.07
09/22/2021;193.08
09/21/2021;194.64
09/20/2021;196.70
09/17/2021;178.41
09/16/2021;177.52
09/15/2021;176.88
09/14/2021;177.47
09/13/2021;177.01
09/10/2021;176.39
09/09/2021;180.46
09/08/2021;178.45
09/07/2021;174.87
09/06/2021;173.60
09/03/2021;173.60
09/02/2021;173.90
09/01/2021;175.31
08/31/2021;174.68
08/30/2021;172.98
08/27/2021;175.64
08/26/2021;179.74
08/25/2021;179.95
08/24/2021;182.76
08/23/2021;186.29
08/20/2021;188.03
08/19/2021;188.20
08/18/2021;184.05
08/17/2021;180.91
08/16/2021;178.34
08/13/2021;177.42
08/12/2021;178.02
08/11/2021;181.89
08/10/2021;183.69
08/09/2021;183.07
08/06/2021;181.23
08/05/2021;179.82
08/04/2021;177.58
08/03/2021;176.77
08/02/2021;175.79
07/30/2021;174.64
07/29/2021;171.45
07/28/2021;174.65
07/27/2021;175.18
07/26/2021;172.42
07/23/2021;171.54
07/22/2021;172.53
07/21/2021;172.49
07/20/2021;174.67
07/19/2021;178.21
07/16/2021;173.17
07/15/2021;173.37
07/14/2021;171.63
07/13/2021;175.90
07/12/2021;172.62
07/09/2021;172.65
07/08/2021;173.65
07/07/2021;169.65
07/06/2021;168.01
07/05/2021;164.31
07/02/2021;164.28
07/01/2021;165.52
06/30/2021;164.47
06/29/2021;159.59
06/28/2021;157.82
06/25/2021;157.19
06/24/2021;159.04
06/23/2021;161.74
06/22/2021;163.97
06/21/2021;164.83
06/18/2021;166.21
06/17/2021;163.41
06/16/2021;163.38
06/15/2021;161.91
06/14/2021;161.35
06/11/2021;158.89
06/10/2021;158.91
06/09/2021;159.33
06/08/2021;160.86
06/07/2021;161.74
06/04/2021;162.23
06/03/2021;164.37
06/02/2021;163.22
06/01/2021;166.96
05/31/2021;170.81
05/28/2021;170.79
05/27/2021;171.60
05/26/2021;174.43
05/25/2021;176.09
05/24/2021;176.49
05/21/2021;177.11
05/20/2021;176.42
05/19/2021;180.21
05/18/2021;178.01
05/17/2021;175.88
05/14/2021;174.44
05/13/2021;176.66
05/12/2021;177.79
05/11/2021;173.38
05/10/2021;171.28
05/07/2021;174.98
05/06/2021;183.39
05/05/2021;190.11
05/04/2021;192.77
05/03/2021;190.78
04/30/2021;189.56
04/29/2021;188.89
04/28/2021;191.51
04/27/2021;192.97
04/26/2021;189.79
04/23/2021;188.63
04/22/2021;191.54
04/21/2021;195.56
04/20/2021;197.13
04/19/2021;194.66
04/16/2021;199.09
04/15/2021;206.47
04/14/2021;214.27
04/13/2021;216.86
04/12/2021;219.16
04/09/2021;218.70
04/08/2021;218.14
04/07/2021;220.98
04/06/2021;216.30
04/05/2021;220.96
04/02/2021;221.19
04/01/2021;220.80
03/31/2021;221.50
03/30/2021;228.15
03/29/2021;225.06
03/26/2021;218.24
03/25/2021;216.54
03/24/2021;207.98
03/23/2021;203.10
03/22/2021;196.62
03/19/2021;190.08
03/18/2021;195.06
03/17/2021;193.84
03/16/2021;198.00
03/15/2021;200.18
03/12/2021;198.60
03/11/2021;195.99
03/10/2021;208.78
03/09/2021;211.61
03/08/2021;212.29
03/05/2021;194.22
03/04/2021;193.69
03/03/2021;191.41
03/02/2021;192.99
03/01/2021;183.74
02/26/2021;193.87
02/25/2021;185.01
02/24/2021;170.73
02/23/2021;175.63
02/22/2021;180.89
02/19/2021;162.07
02/18/2021;158.82
02/17/2021;157.59
02/16/2021;155.34
02/15/2021;153.06
02/12/2021;152.80
02/11/2021;152.98
02/10/2021;154.98
02/09/2021;155.61
02/08/2021;149.03
02/05/2021;147.62
02/04/2021;149.16
02/03/2021;152.16
02/02/2021;156.92
02/01/2021;166.22
01/29/2021;171.67
01/28/2021;170.14
01/27/2021;176.81
01/26/2021;175.24
01/25/2021;176.90
01/22/2021;171.93
01/21/2021;168.63
01/20/2021;165.74
01/19/2021;168.21
01/18/2021;167.76
01/15/2021;167.76
01/14/2021;159.35
01/13/2021;157.69
01/12/2021;161.44
01/11/2021;160.36
01/08/2021;155.00
01/07/2021;151.74
01/06/2021;146.89
01/05/2021;146.40
01/04/2021;140.98
01/01/2021;141.60
12/31/2020;141.60
12/30/2020;142.23
