data_coleta,variavel,mediana
2025-09-19,IPCA_12m,4.3551
2025-09-22,IPCA_12m,4.4727
2025-09-22,IPCA_12m,4.3469
2025-09-23,IPCA_12m,4.4643
2025-09-23,IPCA_12m,4.3219
2025-09-24,IPCA_12m,4.4643
2025-09-24,IPCA_12m,4.2945
2025-09-25,IPCA_12m,4.4467
2025-09-25,IPCA_12m,4.2548
2025-09-26,IPCA_12m,4.4597
2025-09-26,IPCA_12m,4.2861
2025-09-29,IPCA_12m,4.494
2025-09-29,IPCA_12m,4.2856
2025-09-30,IPCA_12m,4.5095
2025-09-30,IPCA_12m,4.2835
2025-10-01,IPCA_12m,4.5199
2025-10-01,IPCA_12m,4.2756
2025-10-02,IPCA_12m,4.5219
2025-10-02,IPCA_12m,4.2723
2025-10-03,IPCA_12m,4.5353
2025-10-03,IPCA_12m,4.2841
2025-10-06,IPCA_12m,4.5306
2025-10-06,IPCA_12m,4.2211
2025-10-07,IPCA_12m,4.5063
2025-10-07,IPCA_12m,4.1993
2025-10-08,IPCA_12m,4.4681
2025-10-08,IPCA_12m,4.1642
2025-10-09,IPCA_12m,4.1491
2025-10-09,IPCA_12m,4.1521
2025-10-10,IPCA_12m,4.0413
2025-10-10,IPCA_12m,4.0428
2025-10-13,IPCA_12m,4.0424
2025-10-13,IPCA_12m,4.0587
2025-10-14,IPCA_12m,4.0511
2025-10-14,IPCA_12m,4.0739
2025-10-15,IPCA_12m,4.0518
2025-10-15,IPCA_12m,4.0907
2025-10-16,IPCA_12m,4.043
2025-10-16,IPCA_12m,4.0838
2025-10-17,IPCA_12m,4.1134
2025-10-17,IPCA_12m,4.1661
2025-10-20,IPCA_12m,4.0623
2025-10-20,IPCA_12m,4.1416
2025-10-21,IPCA_12m,4.0215
2025-10-21,IPCA_12m,4.0936
2025-10-22,IPCA_12m,4.0215
2025-10-22,IPCA_12m,4.1025
2025-10-23,IPCA_12m,4.051
2025-10-23,IPCA_12m,4.1295
2025-10-24,IPCA_12m,3.9588
2025-10-24,IPCA_12m,4.0432
2025-10-27,IPCA_12m,3.959
2025-10-27,IPCA_12m,4.0634
2025-10-28,IPCA_12m,3.9459
2025-10-28,IPCA_12m,4.0534
2025-10-29,IPCA_12m,3.9459
2025-10-29,IPCA_12m,4.0571
2025-10-30,IPCA_12m,3.9377
2025-10-30,IPCA_12m,4.0592
2025-10-31,IPCA_12m,3.9218
2025-10-31,IPCA_12m,4.0569
2025-11-03,IPCA_12m,3.943
2025-11-03,IPCA_12m,4.0839
2025-11-04,IPCA_12m,3.9486
2025-11-04,IPCA_12m,4.0931
2025-11-05,IPCA_12m,3.9486
2025-11-05,IPCA_12m,4.0984
2025-11-06,IPCA_12m,3.9432
2025-11-06,IPCA_12m,4.1013
2025-11-07,IPCA_12m,4.0369
2025-11-07,IPCA_12m,4.1093
2025-11-10,IPCA_12m,4.0055
2025-11-10,IPCA_12m,4.1489
2025-11-11,IPCA_12m,4.1541
2025-11-11,IPCA_12m,4.1577
